animal,content,_id
물병자리,친구들에게 뭔가 좋지 않은 일이 벌어졌을 수도 있어요. 당신이 먼저 친구나 지인에게 안부 전화라도 한 번 해보세요. 어렵고 힘들 때 상대방을 도우면 당신도 힘들 때 도움을 받을 수 있어요.,
물병자리,"활동하기에 매우 적합한 때입니다. 심중으로만 계획하던 것들은 마무리하고, 이제 바깥으로 나가 적극적으로 행동하십시오. 오늘 하루, 당신이 들인 노력과 수고 이상으로 풍부한 결실을 약속할 것입니다.",
물병자리,자제와 주의가 요구되는 한 주입니다. 순간적인 판단과 충동으로 일을 감행하거나 매매를 하는 등의 모험은 가급적 피하시기 바랍니다. 무엇보다도 매사에 차분하게 생각할 수 있도록 마음의 평정을 유지하려는 노력이 필요합니다.,
물병자리,시비가 자주 붙게 되는 한 달 이니 여간 주의하지 않아서는 골치 아픈 일에 휘말리는 것을 막을 수 없습니다. 당신이 아무리 참는다 해도 명백한 악의를 가지고 달려드는 사람을 어찌할 수는 없겠네요. 같이 감정을 폭발시켰다가는 수습하기 힘든 사고를 저지를 수도 있으니 당신만이라도 늘 냉정을 유지해야 할 것입니다,
물고기자리,여느 날에 비해 대체로 평안한 하루입니다만 마냥 그것을 즐길만한 여유를 갖기는 어려울 것입니다. 혹시나 곧 닥쳐올 곤란에 대비할 수 있는 충분한 준비의 시간으로 이 하루를 최대한 활용하시기 바랍니다.,
물고기자리,"다른 사람의 도움을 기대하고, 미루려고 한다면 당신은 경험도 결실도 정당하게 얻지 못할 것입니다. 지금은 무엇보다 당신의 실천이 가장 최선이 될 것이니, 남들과 같이 가려고 하지 말고 더 많은 시간과 정성을 쏟아보도록 하세요.",
물고기자리,"억울한 일을 당하게 되나 하소연할 곳이 없으니, 우울하고 씁쓸한 마음을 어디 풀 곳이 없어 더욱 답답해지는 한 주입니다. 분명 당신이 부당한 대우를 받은 것에 틀림없으나 누구 하나 당신을 변호해주는 사람이 없으니, 부조리임을 알지만 타개할 방법이 없음을 알기 때문입니다.",
물고기자리,시작한다고 된다는 보장은 없지만 넋 놓고 보고만 있을 수만은 없어요. 지금 시작하지 않으면 변명조차 하지 못하게 됩니다. 앉아서 생각만 한다고 만들어지지 않아요. 그런데도 시작하고 싶은 마음이 생기지 않으면 먼저 몸이라도 움직이세요. 때로는 몸이 마음을 움직이기도 한답니다.,
양자리,한 낮에 쨍쨍 내리쬐던 강렬한 태양이 서서히 넘어 가면서 점점 그 열기가 사그라지고 있는 형상입니다. 한없이 위로만 솟구치던 운이 그 기를 다해가고 있군요 그동안은 잠시 몸을 사려 피신해 있는 것도 살아가는 지혜일 것입니다.,
양자리,"정말이지 여유 있고 느긋한 자세가 필요한 하루입니다. 혼자서 아무리 속을 태우고 짜증을 내봐도 소용없을 것입니다. 쓸데없는 조바심은 자신에게도, 남들에게도 좋지 않은 인상만을 남길 뿐입니다.",
양자리,새로이 무엇에 도전한다거나 시도하기에는 적절한 시기가 아닙니다. 현재 상황의 유지 만을 목적으로 매사에 임하는 것이 좋을 것이고 괜한 모험이나 도박은 피하는 것이 상책입니다. 그만큼 행동에 있어서도 조심을 기해야 할 것이고 섣불리 판단하거나 타인에게 악감정을 심어주는 일이 없도록 조심하십시오.,
양자리,사방이 높은 벽으로 둘러 쌓인 것 같나요? 가까운 곳에 묘책이 있어요. 밑을 보세요. 아래를 보세요. 빠져나갈 구멍이 보일 거예요. 지금까지 해왔던 관행에 점령당하지 마세요. 반격할 기회예요. 어두울수록 그 빛은 더욱 밝답니다.,
황소자리,"지금까지는 일이 잘 풀리고 내 뜻대로 이루어져서 상당히 즐거웠지만, 세상 일이란 것이 늘 좋을 수는 없는 법입니다. 혼자만의 힘으로는 도저히 타개할 수 없는 상황이 예상됩니다. 아무리 노력을 해도 그 대가가 별로 없습니다.",
황소자리,뜻을 두고 있는 일에 행운의 빛이 비치고 있으니 좋은 결과가 예상됩니다. 하는 일마다 진척이 빠르고 눈에 띄는 성과가 약속되니 주위의 호응도 큽니다. 같이 출발한 주위 사람들보다 한 걸음 앞서 나아가는 하루가 예상됩니다.,
황소자리,당신을 잊지 않고 찾아온 사람을 따뜻하게 맞는 것은 당연한 예의입니다. 그 사람이 멀리서 온 오래된 친구나 지인이라면 맨발로 뛰어나올 듯 반가운 것은 당연한 것일 테지요. 만약 그것을 마음으로 느끼지 못한다면 그것은 당신의 마음이 메말랐다는 증거입니다.,
황소자리,흘린 땀방울이 수확으로 돌아오는 시기입니다. 쉽지 않은 판단으로 인한 마음 고생이 좋은 결실로 보상을 받게 됩니다. 이에 매우 바쁜 시기가 될 수 있습니다. 주변에서도 당신의 수완에 대한 칭찬이 있겠습니다.,
쌍둥이자리,오랫동안 기다려 온 기회를 아깝게 놓치게 될지도 모르니 긴장하고 있는 것이 좋겠습니다. 이제까지의 수고와 노력이 한 순간 실수로 헛되이 되지 않도록 마지막 순간까지 최선을 다해야 한답니다. 오늘은 너무 높은 목표를 세우지도 말고 또 섣부르게 달려들면 안되겠습니다. ,
쌍둥이자리,스스로 매우 고무되어 있는 하루이군요. 자신감과 의욕으로 가득 차 있으니 무엇인가 크게 기대되는 하루입니다. 적극적으로 뜻하는 바를 추진해 보십시오. 마침 귀인이 운수에 들었으니 어려움에 처하더라도 어떤 도움을 기대할 수 있을 것입니다,
쌍둥이자리,"독립을 결정하기에 좋은 시기입니다. 너무 꽉 짜인 틀이 답답하고 당신과는 어딘지 모르게 늘 불협화음처럼 어울리지 않은 불편함을 느끼고 있었다면, 그것은 지금의 직장과 당신이 물과 기름처럼 어울리지 않기 때문입니다.",
쌍둥이자리,이성과의 관계가 안정적으로 되어지는 달입니다. 만약 이전에 못했던 것이 있다면 실천에 옮기셔도 되겠습니다. 사소한 일에 자존심은 걸림돌이 될 것이니 이번만큼은 넣어두시길 바랍니다. 재물에 관련해서는 작은 수익을 위해 큰 욕심 내지 않는 것이 득이 될 것입니다,
게자리,이제까지 갈고 닦은 자신의 능력과 재주를 과시하고 싶으나 기회가 잘 따르지 않는군요. 그러나 조급해 하거나 미리 좌절하는 것은 어리석은 일이랍니다. 우리 인생에서 기회나 운은 숨어 있다가 어느 순간에 나타나곤 하니까요.,
게자리,매우 순조로운 하루가 예상됩니다. 길운이 당신을 적극적으로 돕고 나서는 때입니다. 이러한 때일수록 모든 일에 더욱 열과 성을 다해야 할 것입니다. 여름에 일하여 겨울을 나는 개미처럼 당신에게 주어진 좋은 기회와 상황을 최대한 활용하여 능력과 양식을 축적하시기 바랍니다.,
게자리,"당신을 시기하는 사람으로부터 자유로울 수 없는 한 주입니다. 그간 당신이 이룬 성취에 대해 질시하는 사람이 나타나니, 물심양면으로 힘이 들지 않을 수 없습니다. 때로는 은근하게, 또 때로는 노골적으로 당신에 대한 불만을 나타내나, 질투라는 것이 늘 그렇듯 근거 없는 비방일 뿐이니 상대의 입맛에 맞춰주기도 힘들어 어쩔 도리가 없습니다.",
게자리,주위 상황들을 보고 건강의 중요성을 절실히 깨닫게 되는 군요. 몸의 소중함을 다시금 느끼게 되는 한 달이 되겠습니다. 잦은 모임은 가급적 피하는 것이 좋겠습니다. 건강에는 큰 문제가 없습니다만 식습관에 좀 더 신경을 쓰시길 바랍니다. 건강이 나쁘지 않은 시기이나 과도한 운동은 오히려 몸에 부담을 줄 수 있으니 피하는 것이 낫겠습니다.,
사자자리,"주위에 사람이 드문 하루입니다. 외로움과 소외감이 찾아들 것입니다. 일을 도모하고자 해도 함께할 사람을 찾기 어려우니 시작부터 곤혹스러울 수도 있습니다. 오늘, 당신에게 필요한 것은 무엇보다도 주위의 애정과 관심일 것입니다.",
사자자리,하는 일 마다 순조롭고 가는 곳마다 이로움과 웃음을 몰고 다니니 어디서나 사람들의 환대를 받지 않는 곳이 없을 것입니다. 하지만 이러한 때일수록 자신을 추스르는 일이 더욱 필요할 것입니다. 아기들의 해맑은 검은 눈동자에서 감동을 느끼듯 밝은 모습과 올바른 마음가짐으로 생활해 나가니 그러한 당신에게 무슨 특별한 근심이 있겠습니까? 연애하거나 놀러가기 좋은 하루 입니다.,
사자자리,자신에게 의도적으로 다가오는 듯한 인상을 주는 낯선 사람과의 접촉은 피해야 하겠습니다. 아무래도 불순한 의도로 접근하는 것일 확률이 많은 만큼 그 사람의 의중을 파악할 수 있어야겠지요. 주로 투자에 관련된 권유나 남성 분의 경우 미소를 띠며 다가오는 여성 분을 피해야 손해를 겪지 않게 될 것입니다.,
사자자리,오랫동안 알고 지낸 사이가 조금은 어색한 관계로 되어질 수 있습니다. 이에 이러한 상황을 대비해 최대한 마주치는 상황을 피하는 것이 좋습니다. 괜한 동정심으로 상대방의 일에 관심을 보인다면 도리어 더 안 좋은 상황이 될 수 있으니 유념하시길 바랍니다. 또한 실속을 원하는 마음과 과시를 하고 싶은 사이에서 많이 갈등을 하게 되는 시기이기도 합니다. ,
처녀자리,하는 일이 막힘 없이 잘 진행되는군요. 당신에게 적극적인 활기를 요구하는 날이 될 것입니다. 당신의 자리를 성실하게 지킴으로써 큰 보람을 낄 수 있는 하루가 되시길 바랍니다. 상황이 좋을 때 다른 사람들을 배려할 수 있는 넉넉함은 훗날 당신이 곤란에 처했을 때 보이지 않는 힘이 될 것입니다. ,
처녀자리,"운명이 당신에게 매우 호의적인 날입니다. 길운이 당신의 일상을 보호하는 하루가 예상됩니다. 다만 자신의 안일에 만족할 것이 아니라 운명이 당신에게 너그러운 만큼 당신도 이웃을 배려하시기 바랍니다. 착한 사람, 좋은 사람과 함께 하면 화원에 든 것과 같답니다. 멀리 있는 친척보다 가까이에 있는 이웃의 당신의 화원에 물을 대어 주게 됩니다.",
처녀자리,"나가는 것은 있어도 들어오는 것은 없는 한 주입니다. 당신에게 도움을 청하는 사람만큼이나 당신에게도 도움이 필요하지만, 당신의 손을 잡아줄 사람이 마땅치 않습니다. 행운이나 도움을 기대할 수 없는 한 주이니만큼 슬기롭게 자신의 힘으로 모든 것을 해결하려는 태도가 필요합니다.",
처녀자리,"다소 현실성이 없는 이익을 마음에 품게 될 수 있는 달입니다. 여러 사람하고 함께 뜻을 모을 만한 계기가 생기지만 금전적으로 수입을 얻기 어려울 수 있습니다. 급한 변화를 모색하려 하지 말고,현실적인 상황을 잘 고려해서 입장을 정리해야 유리합니다.",
천칭자리,"오랜만에 그동안 찾고 있던 이상형의 상대가 당신의 눈 앞에 나타나는군요. 서로를 바라보는 첫인상은 말 그대로 만족스러울 것입니다. 하지만, 서둘러서 가꾼 사랑은 그만큼 가치가 모자랄 수 있으니, 서두르지 말고 당신의 사랑을 천천히 키우도록 인내심을 잃지 마세요",
천칭자리,"이제 곧 좋은 일이 있을 징조가 보이니 희망으로 설레는 하루가 될 것입니다. 그동안 힘든 시기를 지나왔습니다. 그러나 복은 액운을 끼기 마련이기에, 고생 끝에는 낙이 온다고들 하지요. 어려운 시기지만 변함없는 성실함으로 일관해 왔다면 긴 어려움 끝에 분명 좋은 날을 맞을 수 있을 것입니다.",
천칭자리,"부정의 유혹에 쉽게 빠질 수 있는 한 주입니다. 물론 반칙은, 가장 효과적으로 당신의 승리를 보장해주는 수단입니다. 적은 힘을 들이고도 큰 효과를 기대할 수 있기에 당신은 부정의 유혹에 빠지게 되나, 결국엔 언젠가 당신도 그러한 반칙에 의해 큰 화를 당할 날이 닥치게 될 것입니다.",
천칭자리,인간 관계에 작은 갈등이 생길 수 있는 달입니다. 자신이 사람들을 이끌어 가야 한다 라는 강박관념으로 인해 자신의 생각과 의지대로 나가려고만 합니다. 주변 사람들이 순순히 따라와주길 바라는 마음에 사소한 다툼이 생길 수 있겠습니다. 불필요한 자존심은 자제하는 것이 옳겠습니다.,
전갈자리,마음이 평안한 하루입니다. 경제적으로는 크게 들어오는 것이 없지만 긍정적이고 낙관적인 생활 태도를 가지므로 매우 희망찬 하루가 될 것입니다. 자잘한 근심이 다소 있더라도 편안한 마음으로 받아들일 수 있다면 크게 염려할 것이 없겠습니다. 좋은 음식을 먹을 수 있습니다. 귀인을 만날 수 있습니다.,
전갈자리,"짜증내거나 다른 사람을 탓하지 마십시오. 그런다고 해서 상황이 진전되는 것은 아니니까요. 지금 당장 결과를 기다리는 것은 너무 조급한 행동입니다. 기다릴 줄 아는 것도 자신의 능력이자 장점이 될 수 있습니다. 늦게라도 반전되어 좋은 쪽으로 길이 열릴 것이고, 잘 풀리지 않던 일도 매끄럽게 잘 풀려 나갈 것입니다",
전갈자리,직장인이라면 일터에서 동료들과의 불화가 예상됩니다. 동료의 잘못을 끄집어 낼 필요까지는 없을 것 같습니다. 이미 본인도 알고 있으니까요. 잔디가 자라는 소리까지 들으려고 하지 마십시오. 꿈에서 그리는 이상형과의 만남이 기대되는 한 주입니다,
전갈자리,"일을 함에 있어 막힘이 없는 시기입니다. 의도한 대로,본인이 계획한 대로 흘러가게 됩니다. 크게 신경 쓰지 않았던 일에서 의외의 성과를 올리는 등 승승장구 할 수도 있겠습니다. 크게 이름을 알릴 수도 있습니다. 주변에 공을 나주어 주는 것도 잊지 말아야 하겠습니다. 향수병과 같은 기운이 드리워져 그리운 사람을 찾아 떠나는 이동수가 생길 수도 있습니다.",
사수자리,오늘은 특별히 지출이나 수익이 늘어나거나 줄어드는 등의 일이 생기지는 않습니다. 다만 금전 거래 자체에 있어서 주의를 기울여야 하는 날로 보입니다. 특히 가까운 이와의 금전거래를 피해야 하는 시기입니다. 자칫하면 돈도 잃고 사람도 잃기 쉽기 때문입니다.,
사수자리,바라던 것이 있었다면 그것을 이루거나 혹은 구하는 것을 얻게 될 것입니다. 그러나 자신이 들인 수고 이상의 것을 기대했다면 실망스러울 수도 있겠습니다. 그렇다면 실망보다는 반성이 필요할 것입니다. 즉흥적인 계산과 판단으로 섣부르게 추진되는 일에 주의하십시오,
사수자리,"불안한 기미가 느껴지는 한 주입니다. 조만간 들이닥칠 역경의 조짐이 보이는군요. 지나친 걱정보다는 조심하고 삼가는 마음으로 그에 대처할 준비가 필요한 한 주가 될 것입니다. 역경과 곤란은 누구에게나 있는 것이고, 그것을 얼마나 현명하게 극복해 내는가가 더 중요하고 현실적인 문제이니까요.",
사수자리,분에 넘치는 욕심을 부리다가는 될 일도 되지 않을 수 있습니다. 당신이 가진 것에 비하여 당신의 욕심이 과하여 만족스럽지 못한 결과를 초래할 수 있습니다. 또한 여러 가지로 복잡한 일이 끊이지 않아 머리 속이 복잡해지는 때 입니다. ,
염소자리,시작도 생각보다는 좋은 편이고 일이 진행되는 과정도 어느 정도까지는 안정적으로 보일 것입니다. 하지만 일이 마무리될 때까지는 시종일관 눈을 떼서는 안 될 것입니다. 한 눈을 파는 사이에 일이 그릇되게 될 수도 있으므로 끝까지 최선을 다하십시오.,
염소자리,당신이 몸 담고 있는 조직이나 직장에서 다루는 분야 말고 다른 분야에 관심을 가져보기 좋은 날이에요. 수와 관련된 분야가 이롭겠군요. 이동수가 있는데 만약 생각한 분야가 있다면 과감히 움직이는 것도 좋아요.,
염소자리,둘 중 하나를 선택해야 하는 힘든 상황이 생깁니다. 누구도 정답을 알려주지 못해요. 스스로 답을 구해야 해요. 결정하기전 스스로에게 질문해보세요. 어떤 선택이 당신의 마음을 이끄는지. 후회하지 않겠는지. 득실을 떠나 마음이 이끄는대로 선택하세요. 내려 놓으면 답이 보입니다.,
염소자리,"수입과 지출에 큰 변화는 생기지 않지만,모처럼 심리적으로나 현실적 상황에 안정을 찾을 수 있는 달입니다. 많은 걸 한꺼번에 얻으려고 하는 욕심도 사라지고,현실의 안정 된 테두리에서 성실함을 유지해야 한다는 생각이 강해집니다.",